description,category,risk_score,is_high_risk
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9302053060481615,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8013646655166399,1
Un contacto solicitó videos íntimos a cambio de dinero y regalos. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.7829793811638011,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.49180130789353826,0
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8588747518770099,1
Un número desconocido llamó varias veces pero no dijo nada.,desconocido,0.16768441935010073,0
Alguien se comunicó con mi hijo por Discord de forma extraña y persistente.,contacto_inapropiado,0.5000787039668639,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.783169123086245,1
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8028687099684979,1
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9324043795338017,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7743481058909385,1
Un desconocido contactó a mi hijo por Facebook diciendo que quería ser su amigo.,contacto_inapropiado,0.36977355628391523,0
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.7677094516359402,1
Amenazó con difundir fotos si no enviaba más contenido. Fue muy insistente y usó frases de secreto y confianza.,extorsion,0.8545970427666401,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.8323835163057662,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.8155268791728365,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.5998516699019565,1
Alguien se comunicó con mi hijo por Instagram de forma extraña y persistente.,contacto_inapropiado,0.40918154084719494,0
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8312581279882505,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.43887393897954335,0
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.9192679916848289,1
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8608763303826354,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.7575578750995905,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.8391252571409964,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.7721793048888764,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.8174801871778046,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.9061760385666964,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.9116683445643854,1
Amenazó con difundir fotos si no enviaba más contenido. Fue muy insistente y usó frases de secreto y confianza.,extorsion,0.9185046990995904,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.8825502909469667,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8497908014760871,1
"Dijo que si no le enviaba dinero, publicaría conversaciones privadas. Fue muy insistente y usó frases de secreto y confianza.",extorsion,0.9095674576369861,1
Alguien se comunicó con mi hijo por Discord de forma extraña y persistente.,contacto_inapropiado,0.42116171057827234,0
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.8526168943597159,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.43685456167572745,0
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.8193675097641334,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7851820070970168,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8974746182986991,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.6343004802603041,1
Alguien se comunicó con mi hijo por TikTok de forma extraña y persistente.,contacto_inapropiado,0.4074622919031634,0
Un desconocido contactó a mi hijo por Discord diciendo que quería ser su amigo.,contacto_inapropiado,0.39450014769810937,0
Mi hijo recibió mensajes que no entiendo bien.,desconocido,0.15662581670671707,0
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.5961648419556735,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.7903832084410318,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7776942589517655,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7967469007341211,1
Un contacto solicitó videos íntimos a cambio de dinero y regalos. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.8527713528323979,1
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9130390922067747,1
Alguien se comunicó con mi hijo por WhatsApp de forma extraña y persistente.,contacto_inapropiado,0.37129792580270976,0
Alguien se comunicó con mi hijo por WhatsApp de forma extraña y persistente.,contacto_inapropiado,0.4219595533024077,0
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.9048367625743711,1
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8480469135722831,1
Alguien se comunicó con mi hijo por Discord de forma extraña y persistente.,contacto_inapropiado,0.6239408372556635,1
Alguien se comunicó con mi hijo por Discord de forma extraña y persistente.,contacto_inapropiado,0.3523469321456474,0
Obligó a mi hija a seguir enviando fotos con amenazas. Fue muy insistente y usó frases de secreto y confianza.,extorsion,0.8563367786540027,1
Un desconocido contactó a mi hijo por TikTok diciendo que quería ser su amigo.,contacto_inapropiado,0.35709933041043546,0
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.7063141026684199,1
Alguien se comunicó con mi hijo por Facebook de forma extraña y persistente.,contacto_inapropiado,0.5751428845481019,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.715620544429488,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.6095781784100728,1
Mi hijo recibió mensajes que no entiendo bien.,desconocido,0.16958604139058664,0
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8583329993161508,1
Un desconocido contactó a mi hijo por Discord diciendo que quería ser su amigo.,contacto_inapropiado,0.4471314385886067,0
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9104320895469616,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8816423047993817,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7976589310413891,1
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9316215852431592,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8074183763790339,1
"Dijo que si no le enviaba dinero, publicaría conversaciones privadas. Fue muy insistente y usó frases de secreto y confianza.",extorsion,0.8747729062491197,1
"Le pidieron fotos a mi hija de 12 años por WhatsApp, diciendo que era para un juego. Fue muy insistente y usó frases de secreto y confianza.",solicitud_material,0.8392342601293645,1
Alguien se comunicó con mi hijo por TikTok de forma extraña y persistente.,contacto_inapropiado,0.44923738915877903,0
Alguien se comunicó con mi hijo por TikTok de forma extraña y persistente.,contacto_inapropiado,0.6231850861156132,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.5294109986123311,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.9153244292565659,1
Alguien se comunicó con mi hijo por Discord de forma extraña y persistente.,contacto_inapropiado,0.3705262241544654,0
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8924513645389179,1
Un desconocido contactó a mi hijo por Instagram diciendo que quería ser su amigo.,contacto_inapropiado,0.4463174767869715,0
Alguien se comunicó con mi hijo por Discord de forma extraña y persistente.,contacto_inapropiado,0.45210165294928506,0
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.7724301165086841,1
Un desconocido contactó a mi hijo por Discord diciendo que quería ser su amigo.,contacto_inapropiado,0.4301168714818797,0
Un contacto solicitó videos íntimos a cambio de dinero y regalos. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.825198627529666,1
Un contacto solicitó videos íntimos a cambio de dinero y regalos. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.800158570327545,1
Un desconocido contactó a mi hijo por Facebook diciendo que quería ser su amigo.,contacto_inapropiado,0.4293397764461383,0
"Dijo que si no le enviaba dinero, publicaría conversaciones privadas. Fue muy insistente y usó frases de secreto y confianza.",extorsion,0.9088343252194265,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8491140294102708,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7507937533886232,1
Alguien se comunicó con mi hijo por Facebook de forma extraña y persistente.,contacto_inapropiado,0.5340719841606394,1
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8730207063747775,1
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8730457073655037,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.914357892706663,1
Alguien se comunicó con mi hijo por WhatsApp de forma extraña y persistente.,contacto_inapropiado,0.48787114975301926,0
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8135831036382748,1
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9180337846493855,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7875521925742921,1
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9311210673743239,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7640127280271898,1
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8095004069748665,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.780953898522303,1
Alguien se comunicó con mi hijo por Instagram de forma extraña y persistente.,contacto_inapropiado,0.3835621641768005,0
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8489324425937267,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.803411157803225,1
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9235765744511615,1
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8755840158564875,1
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9065529090710788,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.8121773545817279,1
Un contacto solicitó videos íntimos a cambio de dinero y regalos. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.7333289544131827,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.4910031184881055,0
Obligó a mi hija a seguir enviando fotos con amenazas. Fue muy insistente y usó frases de secreto y confianza.,extorsion,0.8991061580220602,1
Alguien se comunicó con mi hijo por TikTok de forma extraña y persistente.,contacto_inapropiado,0.37568388858740637,0
Alguien se comunicó con mi hijo por TikTok de forma extraña y persistente.,contacto_inapropiado,0.5055318177382186,1
Un número desconocido llamó varias veces pero no dijo nada.,desconocido,0.22677742060634287,0
Mi hijo recibió mensajes que no entiendo bien.,desconocido,0.2142024362709398,0
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.7592658247898587,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8869248838729473,1
Alguien se comunicó con mi hijo por TikTok de forma extraña y persistente.,contacto_inapropiado,0.3657197053583529,0
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9107810293688264,1
Un desconocido contactó a mi hijo por TikTok diciendo que quería ser su amigo.,contacto_inapropiado,0.46229030703066104,0
Un desconocido contactó a mi hijo por WhatsApp diciendo que quería ser su amigo.,contacto_inapropiado,0.4305186614147676,0
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8200821889169899,1
Hay un contacto que no reconozco pero no sé si es peligroso.,desconocido,0.27469855551611444,0
Un número desconocido llamó varias veces pero no dijo nada.,desconocido,0.1638633080421831,0
Un número desconocido llamó varias veces pero no dijo nada.,desconocido,0.11082558975336461,0
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8179030716909449,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.9117825623438005,1
Un desconocido contactó a mi hijo por Facebook diciendo que quería ser su amigo.,contacto_inapropiado,0.4009950947204292,0
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.7692046164683746,1
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9381787646625642,1
Un desconocido contactó a mi hijo por Facebook diciendo que quería ser su amigo.,contacto_inapropiado,0.5327393017000964,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8472439507657555,1
Alguien se comunicó con mi hijo por Facebook de forma extraña y persistente.,contacto_inapropiado,0.4514256686442366,0
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.9120107839526703,1
Un número desconocido llamó varias veces pero no dijo nada.,desconocido,0.13789208262133515,0
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8299853625897076,1
Un contacto solicitó videos íntimos a cambio de dinero y regalos. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.7381568655653854,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.782075481864541,1
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8213682675670323,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.810165428848694,1
Un desconocido contactó a mi hijo por TikTok diciendo que quería ser su amigo.,contacto_inapropiado,0.4293375735057271,0
Alguien se comunicó con mi hijo por Discord de forma extraña y persistente.,contacto_inapropiado,0.4880290705681426,0
Amenazó con difundir fotos si no enviaba más contenido. Fue muy insistente y usó frases de secreto y confianza.,extorsion,0.8899199472290946,1
Hay un contacto que no reconozco pero no sé si es peligroso.,desconocido,0.19707405744733905,0
Un desconocido contactó a mi hijo por Instagram diciendo que quería ser su amigo.,contacto_inapropiado,0.3764389643893654,0
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.848149143884315,1
Un número desconocido llamó varias veces pero no dijo nada.,desconocido,0.2532566840032105,0
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8874711602073933,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.36508539004658824,0
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8171933813184775,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.3631077283863543,0
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.9147473102679665,1
Un desconocido contactó a mi hijo por WhatsApp diciendo que quería ser su amigo.,contacto_inapropiado,0.49655955564481297,0
Obligó a mi hija a seguir enviando fotos con amenazas. Fue muy insistente y usó frases de secreto y confianza.,extorsion,0.8818303598297196,1
"Le pidieron fotos a mi hija de 12 años por TikTok, diciendo que era para un juego. Fue muy insistente y usó frases de secreto y confianza.",solicitud_material,0.7369562402094679,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8567281795324256,1
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8947439741691883,1
Un desconocido contactó a mi hijo por Instagram diciendo que quería ser su amigo.,contacto_inapropiado,0.548317292779195,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7782775438576189,1
"Le pidieron fotos a mi hija de 12 años por TikTok, diciendo que era para un juego. Fue muy insistente y usó frases de secreto y confianza.",solicitud_material,0.8622995363695213,1
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.9128574726553816,1
Un desconocido contactó a mi hijo por Instagram diciendo que quería ser su amigo.,contacto_inapropiado,0.43318245379270487,0
"Dijo que si no le enviaba dinero, publicaría conversaciones privadas. Fue muy insistente y usó frases de secreto y confianza.",extorsion,0.9244547992852021,1
Un desconocido contactó a mi hijo por TikTok diciendo que quería ser su amigo.,contacto_inapropiado,0.6252410043366321,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.825927088796625,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8846132292499782,1
Amenazó con difundir fotos si no enviaba más contenido. Fue muy insistente y usó frases de secreto y confianza.,extorsion,0.9171177367149963,1
Amenazó con difundir fotos si no enviaba más contenido. Fue muy insistente y usó frases de secreto y confianza.,extorsion,0.9081685656358028,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.5227390185237243,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.7817190999968484,1
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7603664417185833,1
Un desconocido contactó a mi hijo por Instagram diciendo que quería ser su amigo.,contacto_inapropiado,0.39286147713261876,0
Un contacto solicitó videos íntimos a cambio de dinero y regalos. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.750483639262936,1
"Le pidieron fotos a mi hija de 12 años por Discord, diciendo que era para un juego. Fue muy insistente y usó frases de secreto y confianza.",solicitud_material,0.813592373732899,1
"Dijo que si no le enviaba dinero, publicaría conversaciones privadas. Fue muy insistente y usó frases de secreto y confianza.",extorsion,0.9050213389422221,1
Un desconocido contactó a mi hijo por Instagram diciendo que quería ser su amigo.,contacto_inapropiado,0.6196773909579424,1
"Le pidieron fotos a mi hija de 12 años por WhatsApp, diciendo que era para un juego. Fue muy insistente y usó frases de secreto y confianza.",solicitud_material,0.7571496762882035,1
Un desconocido contactó a mi hijo por Instagram diciendo que quería ser su amigo.,contacto_inapropiado,0.41739219979918646,0
Un desconocido contactó a mi hijo por Instagram diciendo que quería ser su amigo.,contacto_inapropiado,0.5376226226435027,1
Quedó en ver a mi hija en un centro comercial sin nuestro permiso. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8280358513713152,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7816857772982225,1
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7786241519825243,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.4096733305294199,0
Propuso encontrarse con mi hijo en un parque después de clases. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8068667164782551,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.9170045413398606,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.5321194994492798,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.7936318500622616,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.8156005477098109,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.8305965251099886,1
Insistió en reunirse a solas con mi hijo en su casa. Fue muy insistente y usó frases de secreto y confianza.,cita_persona,0.8210673780983374,1
Este usuario se hace pasar por compañero de colegio para ganar confianza y luego pide fotos. Fue muy insistente y usó frases de secreto y confianza.,grooming,0.9092369249042233,1
Recibimos mensajes de un número desconocido haciendo preguntas personales a mi hija.,contacto_inapropiado,0.37709086267057496,0
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.797765593366238,1
"Dijo que si no le enviaba dinero, publicaría conversaciones privadas. Fue muy insistente y usó frases de secreto y confianza.",extorsion,0.9012464522169334,1
Amenazó con difundir fotos si no enviaba más contenido. Fue muy insistente y usó frases de secreto y confianza.,extorsion,0.9179120617551048,1
Un desconocido contactó a mi hijo por WhatsApp diciendo que quería ser su amigo.,contacto_inapropiado,0.4801914415769377,0
"Le dijo a mi hija 'no le cuentes a tus papás, es nuestro secreto'. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.7719990127866087,1
Mi hijo recibió mensajes que no entiendo bien.,desconocido,0.2652309950081522,0
"Primero fue amable, luego empezó a decirle que sus padres no la entendían. Fue muy insistente y usó frases de secreto y confianza.",grooming,0.8807221881464069,1
Un desconocido contactó a mi hijo por TikTok diciendo que quería ser su amigo.,contacto_inapropiado,0.4887884205202902,0
Alguien se comunicó con mi hijo por Instagram de forma extraña y persistente.,contacto_inapropiado,0.5765795589907416,1
Le dijeron a mi hijo que enviara fotos sin ropa para demostrar confianza. Fue muy insistente y usó frases de secreto y confianza.,solicitud_material,0.886750307049881,1
