text,category,category_code,severity,risk,dialect
una persona me escribio diciendo que alguien me pregunto si podia enviarle una foto,solicitud_material,CAT-02,low,0,argentina
una persona me escribio diciendo que alguien me dijo que tu familia no entiende y me pidio fotos,grooming,CAT-03,high,1,neutral
mi sobrino quisioron verla sola,cita_persona,CAT-04,medium,0,mexico
recibi un mensaje de un adulto que no entendi bien,contacto_inapropiado,CAT-01,low,0,argentina
una persona me escribio diciendo que una persona mayor me hizo comentarios que me incomodaron wey,contacto_inapropiado,CAT-01,medium,0,mexico
recibi un mensaje de un tipo me dijo que tus papas no entienden,grooming,CAT-03,medium,0,neutral
vi bueno un mensaje de una mujer me dijo que tus papas no entienden,grooming,CAT-03,medium,0,neutral
vi un mensaje de mi hija recibio un mensaje de alguien un poco incomodo,contacto_inapropiado,CAT-01,low,0,neutral
vi un mensaje de una persona me presiono para mandar fotos sin ropa,solicitud_material,CAT-02,critical,1,colombia
una persona me escribio diciendo que un adulto me dijo que tus amigos no te quieren y me pidio fotos posta,grooming,CAT-03,high,1,argentina
un tipo me manipulo diciendo que tus viejos no entienden y me exigio fotos pibe,grooming,CAT-03,critical,1,argentina
una persona me escribio diciendo que un hombre chantajeo con material intimo,extorsion,CAT-05,critical,1,mexico
recibi un mensaje de alguien me pidio fotos desnudas,solicitud_material,CAT-02,high,1,argentina
recibi un mensaje de un tipo me envio mensajes subidos de tono,contacto_inapropiado,CAT-01,high,1,colombia
una persona me escribio diciendo que un niño recibio mensajes de una mujer con contenido o sea sexual,contacto_inapropiado,CAT-01,high,1,argentina
vi un mensaje de un niño la chantajearon con fetos intimas parcero,extorsion,CAT-05,critical,1,colombia
me contactaron por redes diciendo que shh es secreto mandame fotos desnudas parcero,grooming,CAT-03,severe,1,colombia
mi sobrina pues le pidieron una foto comun,solicitud_material,CAT-02,medium,0,colombia
me contactaron por redes diciendo que un adulto manifesto comentarios de indole sexual explicita,contacto_inapropiado,CAT-01,critical,1,argentina
vi un mensaje de recibi un mensaje de un desconocido que no entendi bien,contacto_inapropiado,CAT-01,low,0,neutral
recibi un mensaje de un desconocido me presiono para vernos a solas,cita_persona,CAT-04,critical,1,neutral
me contactaron por redes diciendo que un tipo manifesto comentarios de indole sexual explicita,contacto_inapropiado,CAT-01,critical,1,argentina
una persona me escribio diciendo que un adulto me manipulo diciendo que yo si te entiendo y me exigio fotos,grooming,CAT-03,critical,1,mexico
la verdad alguien me dijo que una niña fue manipulado por una persona mayor para enviar material intimo,grooming,CAT-03,severe,1,neutral
vi un mensaje de alguien me dijo que o sea tus papas no entienden carnal,grooming,CAT-03,medium,0,mexico
alguien me dijo que pues un tipo exigio mas imagenes so pena de publicarlas,extorsion,CAT-05,critical,1,neutral
vi un mensaje de una persona me pidio que me mostrara en poca ropa,solicitud_material,CAT-02,medium,0,argentina
recibi un mensaje de un adulto me envio un pues mensaje que me parecio raro,contacto_inapropiado,CAT-01,low,0,neutral
recibi un mensaje de alguien me saludo de una forma extraña boliche,contacto_inapropiado,CAT-01,low,0,argentina
alguien me dijo que no le digas a tus papas y enviame fotos chevere,grooming,CAT-03,high,1,colombia
un hombre me saludo de una forma extraña carnal,contacto_inapropiado,CAT-01,low,0,mexico
me contactaron por redes diciendo que juguemos un juego secreto y mandame fotos parce,grooming,CAT-03,high,1,colombia
una persona me escribio diciendo que mi sobrina le pidieron una foto comun,solicitud_material,CAT-02,medium,0,neutral
alguien me dijo que una persona exigio fotografias sin ropa bajo presion,solicitud_material,CAT-02,critical,1,neutral
vi un mensaje de una persona mayor solicito material sexual de forma coercitiva chevere,solicitud_material,CAT-02,severe,1,colombia
alguien me dijo que una persona me hizo comentarios pues que me incomodaron boliche,contacto_inapropiado,CAT-01,medium,0,argentina
recibi un mensaje de una persona mayor me saludo de una forma extraña,contacto_inapropiado,CAT-01,low,0,argentina
recibi un mensaje de mi amiga recibio amenazas sexuales de un desconocido,contacto_inapropiado,CAT-01,severe,1,neutral
una persona me escribio diciendo que alguien me dijo que tus amigos no te quieren,grooming,CAT-03,medium,0,neutral
un hombre me hablo de forma inapropiada,contacto_inapropiado,CAT-01,medium,0,argentina
alguien me dijo que un hombre me saludo de una forma extraña,contacto_inapropiado,CAT-01,low,0,neutral
una pues persona me hizo creer que era el unico que me entendia y me exploto sexualmente,grooming,CAT-03,severe,1,neutral
me contactaron por redes diciendo que solo yo te entiendo pasame fotos,grooming,CAT-03,critical,1,mexico
vi un mensaje de un hombre me propuso quedar en un sitio apartado,cita_persona,CAT-04,high,1,neutral
una persona me escribio pues diciendo que una mujer solicito material sexual de forma coercitiva parce,solicitud_material,CAT-02,severe,1,colombia
una persona me escribio diciendo que alguien me describio actos sexuales de forma directa,contacto_inapropiado,CAT-01,critical,1,neutral
alguien me dijo que un hombre me dijo cosas que no me gustaron,contacto_inapropiado,CAT-01,medium,0,mexico
alguien me dijo que mi hijo le propusieron verse en un lugur escondido,cita_persona,CAT-04,high,1,colombia
me contactaron por redes diciendo que un adulto me dijo que era especial parcero,grooming,CAT-03,low,0,colombia
recibi un mensaje de una persona mayor exigio fotografias y videos desnudos y amenazo entonces con difundirlos orale,solicitud_material,CAT-02,severe,1,mexico
entonces una persona me escribio diciendo que alguien me manipulo diciendo que tus padres no te comprenden y me exigio fotos,grooming,CAT-03,critical,1,mexico
alguien me dijo que mi hijo le pidieron una foto,solicitud_material,CAT-02,low,0,neutral
mandame fotos en ropa interior o le cuento a todos,solicitud_material,CAT-02,critical,1,argentina
vi un mensaje de mi sobrino recibio un mensaje de una mujer un poco incomodo,contacto_inapropiado,CAT-01,low,0,colombia
una persona me escribio pues diciendo que un desconocido me manipulo diciendo que yo si te entiendo y me exigio fotos orale,grooming,CAT-03,critical,1,mexico
recibi un mensaje de un desconocido me propuso quedar en un sitio apartado,cita_persona,CAT-04,high,1,argentina
mi hija le propusieron verse en un lugar escondido pues,cita_persona,CAT-04,high,1,argentina
recibi un mensaje de una persona mayor me envio un mensaje que me parecio raro chido,contacto_inapropiado,CAT-01,low,0,mexico
mi hijo le pidieron una foto comun la verdad,solicitud_material,CAT-02,medium,0,neutral
me contactaron por redes diciendo que un niño recibio mensajes de una persona con contenido sexual,contacto_inapropiado,CAT-01,high,1,neutral
una persona me escribio diciendo que mi sobrino la aislaron y le bueno pidieron fotos intimas,grooming,CAT-03,critical,1,neutral
vi un mensaje de un hombre me envio comentarios sexuales explicitos,contacto_inapropiado,CAT-01,high,1,mexico
alguien la verdad me dijo que tu familia no entiende yo si mandame fotos,grooming,CAT-03,severe,1,neutral
me contactaron por redes diciendo que un adulto me envio mensajes subidos de tono,contacto_inapropiado,CAT-01,high,1,argentina
mi amiga le insistieron en enviar fotos intimas,solicitud_material,CAT-02,critical,1,colombia
me contactaron por redes diciendo que mi hija recibio comentarios de una persona mayor que la pues incomodaron,contacto_inapropiado,CAT-01,medium,0,colombia
alguien me dijo que una persona me pregunto si queria verlo wey,cita_persona,CAT-04,low,0,mexico
me contactaron por redes diciendo que un hombre me dijo que yo si te entiendo y me pidio fotos,grooming,CAT-03,high,1,argentina
un hombre me manipulo diciendo que solo yo te quiero ayudar y me exigio fotos,grooming,CAT-03,critical,1,neutral
recibi un mensaje de un adulto exigio fotografias y videos desnudos y amenazo con difundirlos,solicitud_material,CAT-02,severe,1,argentina
recibi entonces un mensaje de un hombre me dijo cosas sexuales sin que yo lo pidiera bacano,contacto_inapropiado,CAT-01,high,1,colombia
una persona me escribio diciendo que no le digas a tus entonces papas y enviame fotos,grooming,CAT-03,high,1,neutral
una mujer me propuso un juego secreto y me pidio material intimo pibe,grooming,CAT-03,high,1,argentina
recibi un mensaje de una mujer me hizo creer que era el unico que me entendia y me exploto sexualmente chido,grooming,CAT-03,severe,1,mexico
me contactaron por rades diciendo que alguien me la verdad invito a salir,cita_persona,CAT-04,low,0,argentina
recibi un mensaje de pusame plata o difundo las fotos,extorsion,CAT-05,severe,1,neutral
una persona me escribio diciendo que pasame una foto en ropa interior,solicitud_material,CAT-02,high,1,mexico
una persona mayor me invito a salir,cita_persona,CAT-04,low,0,neutral
alguien me dijo que mi amigo la aislaron y le pidieron fotos intimas boliche,grooming,CAT-03,critical,1,argentina
me contactaron por redes diciendo que una persona me dijo cosas que no me gustiron chevere,contacto_inapropiado,CAT-01,medium,0,colombia
alguien me dijo que un hombre me envio comentarios sexuales explicitos chido,contacto_inapropiado,CAT-01,high,1,mexico
recibi un mensaje la verdad de alguien que no entendi bien,contacto_inapropiado,CAT-01,low,0,mexico
me contactaron por redes diciendo que mi sobrina recibio mensajes de una persona con palabras sexuales agresivas,contacto_inapropiado,CAT-01,critical,1,neutral
me contactaron por redes diciendo que un desconocido me envio mensajes subidos de tono,contacto_inapropiado,CAT-01,high,1,neutral
vi un mensaje de una mujer me manipulo diciendo que tus viejos no entienden y me exigio fotos,grooming,CAT-03,critical,1,mexico
vi un mensaje de un hombre entonces me controlo tus padres no te comprenden y me obligo a enviar fotos desnudas parce,grooming,CAT-03,severe,1,colombia
una persona me escribio diciendo que un niño recibio un mensaje de alguien un o sea poco incomodo,contacto_inapropiado,CAT-01,low,0,neutral
una persona me envio un mensaje que me parecio raro orele,contacto_inapropiado,CAT-01,low,0,mexico
vi un mensaje de una persona mayor me amenazo con difundir material intimo si no enviaba mas orale,extorsion,CAT-05,severe,1,mexico
me contactaron por redes diciendo que tu familia no entiende yo si mandame fotos che,grooming,CAT-03,severe,1,argentina
una persona me escribio diciendo que shh es secreto mandame fotos desnudas,grooming,CAT-03,severe,1,colombia
me contactaron por redes diciendo que un adulto me dijo cosas sexuales o sea muy explicitas,contacto_inapropiado,CAT-01,critical,1,neutral
una persona me escribio diciendo que un o sea niño recibio comentarios de una persona que la incomodaron copado,contacto_inapropiado,CAT-01,medium,0,argentina
me contactaron por redes diciendo que un adulto me extorsiono exigiendo mas fotos o publicaria todo parce,extorsion,CAT-05,severe,1,colombia
alguien me dijo que una persona mayor me pidio que me mostrara en poca ropa bacano,solicitud_material,CAT-02,medium,0,colombia
vi un mensaje de una persona me pidio material sexual y mantenlo en secreto,solicitud_material,CAT-02,severe,1,neutral
una persona me escribio diciendo que mi amiga recibio un mensaje de un hombre un poco incomodo,contacto_inapropiado,CAT-01,low,0,colombia
me contactaron por redes diciendo que la verdad un tipo me hizo comentarios que me incomodaron carnal,contacto_inapropiado,CAT-01,medium,0,mexico
una persona insistio en que le enviara fotos intimas pues,solicitud_material,CAT-02,critical,1,neutral
me contactaron por redes diciendo que un tipo insistio en quedar solo a pesar de que le dije que no,cita_persona,CAT-04,critical,1,neutral
vi entonces un mensaje de una niña le pidieron una foto comun,solicitud_material,CAT-02,medium,0,colombia
me contactaron por redes diciendo que una mujer quiso verme la verdad a solas,cita_persona,CAT-04,medium,0,argentina
una persona me escribio diciendo que un menor recibio mensajes de una mujer con contenido sexual,contacto_inapropiado,CAT-01,high,1,colombia
un adulto requirio imagenes intimas sin consontimiento,solicitud_material,CAT-02,high,1,neutral
alguien me dijo que un entonces adulto me hizo comentarios que me incomodaron,contacto_inapropiado,CAT-01,medium,0,neutral
me contactaron por redes diciendo que un niño recibio un mensaje de un hombre un poco incomodo,contacto_inapropiado,CAT-01,low,0,mexico
alguien me dijo que una persona mayor insistio en que le enviara fotos intimas,solicitud_material,CAT-02,critical,1,mexico
alguien me pregunto si queria verlo,cita_persona,CAT-04,low,0,mexico
una mujer me controlo tus amigos no te quieren y me obligo a enviar fotos desnudas,grooming,CAT-03,severe,1,neutral
un tipo me insulto de forma sexual carnal,contacto_inapropiado,CAT-01,critical,1,mexico
vi un mensaje de shh es secreto mandame fotos desnudas boliche,grooming,CAT-03,severe,1,argentina
recibi un mensaje de pasame una foto en ropa interior,solicitud_material,CAT-02,high,1,neutral
vi un mensaje de un tipo me presiono para mandar fotos sin buino ropa,solicitud_material,CAT-02,critical,1,argentina
me contactaron por redes diciendo que un tipo me obligo a encontrarme con el a escondidas,cita_persona,CAT-04,severe,1,mexico
una persona mayor exigio fotografias y videos desnudos y amenazo con difundirlos o sea,solicitud_material,CAT-02,severe,1,neutral
alguien me dijo que mi hija la presionaron para entonces quedar sola copado,cita_persona,CAT-04,critical,1,argentina
una persona me escribio diciendo que un desconocido me dijo que solo yo te quiero ayudar y me pidio fotos orale,grooming,CAT-03,high,1,mexico
recibi un mensaje de una mujer me hizo comentarios que me incomodaron chido,contacto_inapropiado,CAT-01,medium,0,mexico
un niño le propusieron un juego secreto y le pidieron fotos wey,grooming,CAT-03,high,1,mexico
recibi un mensaje de una persona me dijo cosas sexuales sin que entonces yo lo pidiera bacano,contacto_inapropiado,CAT-01,high,1,colombia
vi un mensaje de una persona mayor me dijo que era especial,grooming,CAT-03,low,0,colombia
me contactaron por redes diciendo la verdad que un adulto me insulto de forma sexual boliche,contacto_inapropiado,CAT-01,critical,1,argentina
recibi un mensaje de una persona me dijo que era especial,grooming,CAT-03,low,0,neutral
bueno una persono me escribio diciendo que enviame fotografias intimas,solicitud_material,CAT-02,high,1,colombia
vi un mensaje de un adulto verbalizo contenido sexual agresivo chevere,contacto_inapropiado,CAT-01,critical,1,colombia
recibi un mensaje de una persona o sea mayor me pidio que le mandara una foto parcero,solicitud_material,CAT-02,low,0,colombia
me contactaron por redes diciendo que una persona mayor quiso verme a solas bacano,cita_persona,CAT-04,medium,0,colombia
me contactaron por redes diciendo que una mujer me propuso un juego secreto y me pidio fotos sin ropa,grooming,CAT-03,high,1,mexico
una persona mayor me hizo comentarios que me incomodaron carnal,contacto_inapropiado,CAT-01,medium,0,mexico
ilguien me dijo que un niño le propusieron un juego secreto y le pidieron fotos,grooming,CAT-03,high,1,neutral
una persona me escribio diciendo que una persona mayor me envio comentarios sexuales explicitos,contacto_inapropiado,CAT-01,high,1,neutral
un tipo me dijo que tu familia pues no entiende y me pidio fotos orale,grooming,CAT-03,high,1,mexico
recibi un mensaje de una persona me envio un mensaje que me parecio raro,contacto_inapropiado,CAT-01,low,0,neutral
alguien me dijo que un hombre amenazo con difundir material intimo si no recibia mas,extorsion,CAT-05,severe,1,colombia
me contactaron por redes diciendo que mandame fotos desnudas ya,solicitud_material,CAT-02,high,1,colombia
una persona me escribio diciendo que un tipo me propuso un juego secreto y me pidio fotos,grooming,CAT-03,high,1,neutral
alguien me dijo que un desconocido me envio mensajes subidos de tono neta,contacto_inapropiado,CAT-01,high,1,mexico
alguien me dijo que un hombre me envio comentarios sexuales explicitos,contacto_inapropiado,CAT-01,high,1,mexico
mi amigo le dijeron que no le cuentes a tus pues papas,grooming,CAT-03,medium,0,neutral
alguien me dijo que un hombre me pregunto si podia enviarle una foto,solicitud_material,CAT-02,low,0,neutral
me contactaron por redes diciendo que mandame fotos en ropa interior o publicaria las fotos,solicitud_material,CAT-02,severe,1,argentina
alguien me dijo que alguien me hablo de forma inapropiada,contacto_inapropiado,CAT-01,medium,0,colombia
enviame fotos en ropa intirior ya,solicitud_material,CAT-02,critical,1,argentina
no le digas a tus papas y pues enviame fotos boliche,grooming,CAT-03,high,1,argentina
recibi un mensaje de no le digas a tus papas y enviame fotos,grooming,CAT-03,high,1,argentina
una persona me escribio diciendo que una persona me hizo creer que era el unico que me entendia y me exploto sexualmente,grooming,CAT-03,severe,1,argentina
bueno un hombre me hablo de forma inapropiada,contacto_inapropiado,CAT-01,medium,0,argentina
una persona me pidio que le mandara una foto,solicitud_material,CAT-02,low,0,mexico
alguien me dijo que alguien me envio un mensaje que me parecio raro,contacto_inapropiado,CAT-01,low,0,mexico
alguien me dijo que recibi un mensaje de una persona mayor que no entendi bien,contacto_inapropiado,CAT-01,low,0,neutral
un adulto me dijo pues que nos vieramos en un lugar escondido,cita_persona,CAT-04,high,1,colombia
una persona me escribio diciendo que tu familia no entiende mandame fotos chevere,grooming,CAT-03,critical,1,colombia
una persona me escribio diciendo que una persona mayor me controlo tus padres no te comprenden y me obligo a enviar fotos desnudas,grooming,CAT-03,severe,1,neutral
una persona me escribio diciendo que un niño recibio amenazas sexuales de un hombre,contacto_inapropiado,CAT-01,severe,1,colombia
recibi un mensaje de una la verdad niña amenazaron con difundir sus fotos posta,extorsion,CAT-05,high,1,argentina
una persona mayor me presiono para vernos a solas entonces,cita_persona,CAT-04,critical,1,neutral
alguien me dijo que tu familia no entiende mandame fotos neta,grooming,CAT-03,critical,1,mexico
una persona me escribio diciendo que un desconocido me dijo que yo si te entiendo y me pidio fotos,grooming,CAT-03,high,1,argentina
alguien me dijo que alguien me hizo creer que era bueno el unico que me entendia y me exploto sexualmente,grooming,CAT-03,severe,1,colombia
vi un mensaje de alguien amenazo con difundir material intimo si no recibia mas,extorsion,CAT-05,severe,1,neutral
alguien me dijo que solo yo te entiendo pasame fotos chido,grooming,CAT-03,critical,1,mexico
me contactaron por redes diciendo que una persona extorsiono exigiendo mas fotografias o publicaria todo,extorsion,CAT-05,severe,1,mexico
vi un mensaje de un desconocido me presiono para mandar fotos sin ropa,solicitud_material,CAT-02,critical,1,mexico
alguien me dijo que mi amigo fue manipulado por un adulto para enviar material intimo,grooming,CAT-03,severe,1,mexico
me contactaron por redes diciendo que un adulto me pidio que shh es secreto,grooming,CAT-03,medium,0,mexico
pues recibi un mensaje de alguien me saludo de una forma extraña,contacto_inapropiado,CAT-01,low,0,mexico
recibi un mensaje de mi hijo le pidieron fotos desnudas copado,solicitud_material,CAT-02,high,1,argentina
me contactaron por redes diciendo que pasame una foto en ropa interior,solicitud_material,CAT-02,high,1,neutral
una persona me escribio diciendo que mi amigo la obligaron a encontrarse a escondidas con alguien posta,cita_persona,CAT-04,severe,1,argentina
una persona me escribio diciendo que una mujer me presiono para mandar entonces fotos sin ropa chido,solicitud_material,CAT-02,critical,1,mexico
alguien me dijo que una persona me presiono para vernos a solas,cita_persona,CAT-04,critical,1,argentina
mi hijo la obligaron a encontrarse a escondidas con la verdad una persona mayor,cita_persona,CAT-04,severe,1,neutral
me contactaron por redes diciendo que mandame dinero y mas fotos o publico todo,extorsion,CAT-05,severe,1,argentina
vi un mensaje de un adulto me dijo cosas sexuales sin que yo lo pidiera bacano,contacto_inapropiado,CAT-01,high,1,colombia
una persona me escribio diciendo que pasame fotos sin ropa y no le digas a nadie,solicitud_material,CAT-02,severe,1,neutral
vi un mensaje de un adulto me propuso quedar en un sitio apartado orale pues,cita_persona,CAT-04,high,1,mexico
una persona me escribio diciendo que una persona mayor requirio material intimo de forma reiterada,solicitud_material,CAT-02,critical,1,mexico
vi un mensaje de una mujer me manipulo diciendo que tus amigos no te quieren y me exigio fotos,grooming,CAT-03,critical,1,mexico
una persona me escribio diciendo que un tipo me insulto de forma sexual boliche,contacto_inapropiado,CAT-01,critical,1,argentina
una persona me escribio diciendo que una mujer requirio imagenes intimas sin consentimiento,solicitud_material,CAT-02,high,1,neutral
mi sobrino la aislaron y le pidieron fotos intimas,grooming,CAT-03,critical,1,neutral
una persona me escribio diciendo que una mujer quiso verme a solas,cita_persona,CAT-04,medium,0,argentina
un hombre me pidio que no le digas a pues nadie,grooming,CAT-03,medium,0,neutral
bueno recibi un mensaje de un hombre me hizo comentarios que me incomodaron,contacto_inapropiado,CAT-01,medium,0,argentina
vi un mensaje de un desconocido me pidio fotos desnudas,solicitud_material,CAT-02,high,1,colombia
una persona me escribio diciendo que tu familia no entiende mandame fotos chido,grooming,CAT-03,critical,1,mexico
vi un mensaje de alguien extorsiono exigiendo mas fotografias o publicaria pues todo becano,extorsion,CAT-05,severe,1,colombia
alguien me dijo que un adulto me dijo que era especial,grooming,CAT-03,low,0,argentina
me contactaron por redes diciendo que una mujer me pidio fotos desnudas,solicitud_material,CAT-02,high,1,neutral
me contactaron por redes diciendo que alguien me hablo de forma inapropiada chevere,contacto_inapropiado,CAT-01,medium,0,colombia
vi un mensaje de una mujer me dijo que era especial pibe,grooming,CAT-03,low,0,argentina
